"Pseudotime","SMC_Subtype"
10.2302252629025,"SMC1"
6.56837969502454,"SMC2"
9.7205986100269,"SMC3"
10.2735690592302,"SMC1"
12.4242578421061,"SMC3"
8.11814528647447,"SMC1"
5.78055217472333,"SMC3"
9.13900431285057,"SMC2"
8.81114775524191,"SMC3"
12.573934135902,"SMC3"
8.0461851889573,"SMC2"
6.55574079007283,"SMC3"
8.98242938192292,"SMC2"
7.91869200195121,"SMC2"
10.5257128872503,"SMC2"
10.5257129233825,"SMC1"
4.75533699222385,"SMC1"
5.37681895141231,"SMC1"
11.7739322431463,"SMC2"
6.68862208951161,"SMC3"
9.46400910853167,"SMC1"
8.78861342637231,"SMC3"
7.22789652122552,"SMC2"
8.8287588898996,"SMC3"
9.51404651042903,"SMC1"
7.12937121273349,"SMC3"
6.61523086367824,"SMC1"
9.68165168804138,"SMC2"
5.26601635554456,"SMC1"
5.03671635130769,"SMC1"
9.14717972798299,"SMC2"
9.14218032279546,"SMC2"
9.72007639875557,"SMC2"
6.87597523335746,"SMC3"
9.59775367448023,"SMC2"
7.99114963350833,"SMC3"
5.51143482548668,"SMC1"
2.02652741345133,"SMC1"
11.6192161317538,"SMC3"
13.788483864506,"SMC5"
4.2565117760157,"SMC1"
11.1656874937009,"SMC2"
1.71279260521426,"SMC1"
10.4930128957693,"SMC3"
7.91972736842041,"SMC2"
10.4277335962371,"SMC1"
2.55018994276816,"SMC1"
9.9187304835326,"SMC3"
8.17700492300927,"SMC3"
14.1912593909498,"SMC5"
5.41074755441916,"SMC1"
6.0843836551793,"SMC3"
8.27126731170651,"SMC2"
8.28599666702805,"SMC3"
2.81608462021381,"SMC1"
12.5739341720342,"SMC1"
5.02794546294589,"SMC1"
12.5739342081664,"SMC2"
5.41559029730343,"SMC1"
3.72601991172953,"SMC1"
6.79512449477835,"SMC2"
10.9350538095877,"SMC2"
4.26488859307674,"SMC1"
9.54530284740371,"SMC2"
6.3667227961268,"SMC1"
8.83345014446179,"SMC2"
8.65217920196765,"SMC2"
6.20431841502905,"SMC2"
8.80893784504775,"SMC2"
8.15776385798592,"SMC2"
4.94882871961474,"SMC2"
10.5257129595147,"SMC2"
8.42615912200202,"SMC2"
2.53739434812618,"SMC1"
8.14109135112648,"SMC2"
10.1559151371309,"SMC2"
9.90721058660651,"SMC2"
9.1302634548091,"SMC2"
6.48682889363218,"SMC1"
6.11791540034273,"SMC1"
6.79512453091057,"SMC2"
6.53234552103038,"SMC3"
8.07499911454379,"SMC1"
9.36381106809559,"SMC2"
4.91096863426564,"SMC1"
3.26062709371059,"SMC1"
4.99494503830541,"SMC1"
3.71182958557525,"SMC1"
10.8941218534717,"SMC3"
9.12406252366515,"SMC2"
8.98242941805515,"SMC2"
9.14717976411521,"SMC2"
9.1178538536971,"SMC2"
11.1448605210188,"SMC2"
8.98242945418737,"SMC2"
8.99768142797404,"SMC2"
0.386055347991912,"SMC1"
5.86364068172606,"SMC1"
