"UMAP_1","UMAP_2","Myeloid_Subtype"
-3.57079714248202,-3.60461823871978,"M1 Macrophages"
-2.37516849944613,-1.87069337299713,"M1 Macrophages"
-4.06027811477206,-2.03210620811828,"M1 Macrophages"
-0.684259948230006,2.75427706309907,"Classical Monocytes"
-2.99633377501986,-0.391432078989824,"M1 Macrophages"
-1.17615547487757,2.23914415904633,"Classical Monocytes"
-4.7539610237839,-2.2005744450415,"M1 Macrophages"
-0.0238988966705578,3.59757072993867,"M2 Macrophages"
-5.06101053664706,-1.36036269596465,"M1 Macrophages"
-3.08719747970126,1.97533876964203,"Classical Monocytes"
-3.52805798957369,-1.73622279098876,"M1 Macrophages"
-4.06600874373934,-0.63667315474399,"M1 Macrophages"
-5.5936199993851,-5.1855026953543,"M1 Macrophages"
-2.7440984816315,3.51349051066987,"Classical Monocytes"
-4.4447421402695,-2.36964504650482,"M1 Macrophages"
-4.11166089484713,2.33775742122285,"Classical Monocytes"
-1.03972205231211,3.57485945293061,"M2 Macrophages"
-3.67817896316073,1.55357379981629,"Classical Monocytes"
-0.0720573038818615,1.351953459469,"Neutrophils"
-2.32499491879962,3.99041731425873,"Neutrophils"
-0.393497285342433,3.3059991128122,"Neutrophils"
-2.77145760962985,3.21468360492341,"Classical Monocytes"
-2.2893322677376,0.986165953365485,"Neutrophils"
0.495875063442968,4.00385267802826,"Neutrophils"
-1.23339420268557,0.73445017406098,"Neutrophils"
-1.01417368361972,-0.179599063905557,"Neutrophils"
-0.768726345992305,1.70186407634369,"Neutrophils"
1.2575443415878,2.55352289744965,"M2 Macrophages"
1.14486247589567,4.46699078151337,"M2 Macrophages"
1.20309621384122,1.09664530822388,"Neutrophils"
-0.430157360530116,1.68497903415314,"Neutrophils"
2.06441217949369,3.64021999904267,"M2 Macrophages"
1.84148556282499,1.95167954036347,"Neutrophils"
0.147318783306859,2.9309421307718,"Neutrophils"
-1.31444664011023,-1.12135724953063,"Neutrophils"
-2.42320227334521,1.09879858562104,"Neutrophils"
1.53261143257596,1.49538405009858,"Neutrophils"
0.0301302104232533,2.15669949123017,"Neutrophils"
-1.8830709428551,2.33637840816132,"Neutrophils"
-0.0941668123962658,3.24738748141877,"Neutrophils"
-2.86340516517184,0.383121979919592,"Neutrophils"
2.430450740361,3.21155150004975,"M2 Macrophages"
-0.705663380122401,0.380726171222845,"Neutrophils"
-2.02657788703463,2.08123786517731,"Neutrophils"
0.815118613743566,2.70510919162385,"Neutrophils"
-1.02499621818087,2.81497104236237,"Neutrophils"
0.746398988270543,1.0438491828119,"Neutrophils"
2.0082128672836,3.36393148967377,"Neutrophils"
-0.73875128934405,3.8824003464853,"Neutrophils"
-2.18928760001681,0.998572064129034,"Neutrophils"
-2.44682198474429,3.42708308765046,"Neutrophils"
0.80889731934049,-0.0617660158003175,"Neutrophils"
1.24561244537809,0.284897876468817,"Neutrophils"
-1.99890762279055,1.67181141444794,"Neutrophils"
-0.332086739039637,2.5142522580301,"Neutrophils"
-0.50568586299441,0.697869253841559,"Neutrophils"
0.65344602158048,2.28868539401642,"Neutrophils"
1.17797237923124,0.904143167225043,"Neutrophils"
-2.2275573582413,3.40316851207368,"Neutrophils"
-2.48717790553591,3.89206059047333,"Neutrophils"
-4.47370594451449,-1.81800525120147,"M1 Macrophages"
0.736799302601598,2.32640845843903,"Neutrophils"
0.459693017506383,3.65913279124848,"Neutrophils"
-0.286298093295314,1.43792266914002,"Neutrophils"
-0.830795940852382,4.23720486232392,"Neutrophils"
1.5567250876663,3.51270802089326,"Neutrophils"
-1.76558118770144,0.493658436027685,"Neutrophils"
-1.97110828468821,1.45945568153016,"Neutrophils"
0.650948586964391,3.57662756511323,"Neutrophils"
-1.39437912116072,1.97409374782197,"Neutrophils"
-2.19223189065478,-1.61353855064758,"Neutrophils"
-2.56391685912631,3.99561483928315,"Neutrophils"
-0.686374363398768,1.11952085563294,"Neutrophils"
-2.69988625953219,1.05995054313294,"Neutrophils"
0.302158298992894,1.28986926147095,"Neutrophils"
-1.17251607487223,-2.35924963882812,"Neutrophils"
-4.40400927970431,1.878280711857,"Neutrophils"
-0.242053446269252,0.370510113922278,"Neutrophils"
1.31082493355253,2.11141855785004,"Neutrophils"
-2.05830895612261,1.43782980510346,"Neutrophils"
2.10181480934598,2.39685852595917,"Neutrophils"
-2.6284590334656,-0.617109688433489,"Neutrophils"
0.802800241017125,4.11263067790619,"Neutrophils"
1.15010935356595,4.85604507991425,"Neutrophils"
-0.637620624995448,2.07804520198456,"Neutrophils"
-2.33532482097171,0.390072298732916,"Neutrophils"
0.332575383686803,0.339750362125555,"Neutrophils"
0.693596187138341,1.86738808223359,"Neutrophils"
-3.12576871821902,-4.37415592602142,"M1 Macrophages"
-2.63640480945132,0.775511217800299,"Neutrophils"
-2.93681055018923,2.91266615459077,"Neutrophils"
-1.60281315157435,1.61747200557343,"Neutrophils"
0.3539251713989,1.55235858031861,"M2 Macrophages"
-2.8802706570389,3.57181675502411,"Neutrophils"
-4.33033269355319,-1.989918755802,"M1 Macrophages"
-3.93724506804965,0.298908246246496,"M2 Macrophages"
-1.21717190454028,4.75634653636567,"Neutrophils"
-2.01433747718356,-1.13270192078002,"Neutrophils"
-0.738879618144252,0.0739143020784057,"Neutrophils"
0.150265756153844,1.96926219531647,"Neutrophils"
-3.00525873610995,3.66663057872407,"Neutrophils"
-1.47255637953303,1.51518328258149,"Neutrophils"
0.28640443375089,0.363034439769903,"Neutrophils"
-2.72672861526034,3.45250780650727,"Neutrophils"
-2.90692692706607,1.94330818721406,"Neutrophils"
-0.138191875910975,2.26916868754975,"Neutrophils"
-1.82232227633021,1.29765553542725,"Neutrophils"
1.17570096542814,0.388655794349829,"Neutrophils"
0.168075385594152,3.65080483028046,"Neutrophils"
-2.05367517182849,0.26646967002503,"Neutrophils"
-1.60007177004836,0.518761409011999,"Neutrophils"
2.22405869057157,2.12615592548005,"Neutrophils"
-1.91549557158969,0.519279373375098,"Neutrophils"
-2.29579943130038,0.902774048534552,"Neutrophils"
-3.69578855941317,-2.65535275867828,"M1 Macrophages"
1.35435325195768,0.622126413074652,"Neutrophils"
-3.10496300170443,-2.13849286964782,"M1 Macrophages"
0.599319043659948,0.0629528886949218,"Neutrophils"
-0.738314506507136,3.19035251208893,"Neutrophils"
0.545309129261754,0.33383388587586,"Neutrophils"
0.650684419178746,3.19311339923493,"Neutrophils"
-1.57197952727101,-1.88462202480682,"Neutrophils"
2.28701573898771,2.24275310107819,"Neutrophils"
-1.54722668314598,-1.57736115387329,"Neutrophils"
-1.38754305700085,2.41544039317719,"Neutrophils"
-0.996905234551646,3.54181344577424,"Neutrophils"
-1.26124167153857,1.01626284190766,"Neutrophils"
-0.655915376639582,1.08250422546021,"Neutrophils"
-5.28062647292636,-1.98600380352386,"Neutrophils"
-0.72608780572436,2.35663588115327,"Neutrophils"
-1.39371491680167,1.99102647372834,"Neutrophils"
-1.85437029311679,-0.0863320701444947,"Neutrophils"
0.901063981556676,4.89206869670502,"Neutrophils"
-0.857568797564723,-0.90560953548797,"Neutrophils"
-1.31925670514128,1.12438626357667,"Neutrophils"
0.361706080937169,2.1707976586496,"Neutrophils"
0.872524323963903,1.21877570220582,"Neutrophils"
-2.95954292724154,-0.187039511712869,"Neutrophils"
-1.48170407573006,2.14075572558991,"Neutrophils"
1.00476461937406,2.3903017766153,"Neutrophils"
